Program,Version,Program build date,Command line,Start time,Stop time,Elapsed time (seconds),Status
"ClipData",2.66,"Aug  6 2018 10:55:49"," /zmin:0.4 E:\Palancia\TLS\9_Normalized_PointClouds\Z14_filtered_Normalized.las E:\Palancia\TLS\11_Perimeter\Z14_filtered_Normalized_perimeter.las  0 0 9999999 9999999","Tue Feb 12 09:58:24 2019","Tue Feb 12 09:58:24 2019",0,Success
"CanopyModel",1.97,"Aug  6 2018 10:55:44"," /ground:E:\Palancia\TLS\7_MDT\Z5_filtered_ground.mdt E:\Palancia\TLS\8_Canopy_Model\Z5_filtered_CanopyModel.mdt 0.05 m m 1 30 2 3 E:\Palancia\TLS\3_TLS_Noise\Z5_filtered_cleaned.las","Tue Feb 12 09:58:30 2019","Tue Feb 12 09:58:30 2019",0,Errors
"CanopyModel",1.97,"Aug  6 2018 10:55:44"," /ground:E:\Palancia\TLS\7_MDT\UAV_Clip_Z5_filtered_ground.mdt E:\Palancia\TLS\8_Canopy_Model\UAV_Clip_Z5_filtered_CanopyModel.mdt 0.05 m m 1 30 2 3 E:\Palancia\TLS\5_Photogrammetry_Clip\UAV_Clip_Z5_filtered.las","Tue Feb 12 09:58:30 2019","Tue Feb 12 09:58:30 2019",0,Errors
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," /outlier:-0.30,2.5 /minht:0.25 E:\Palancia\TLS\9_Normalized_PointClouds\*Z5_filtered_Normalized.las E:\Palancia\TLS\10_CloudMetrics\Z5_filtered.csv ","Tue Feb 12 09:58:31 2019","Tue Feb 12 09:58:31 2019",0,Success
"ClipData",2.66,"Aug  6 2018 10:55:49"," /zmin:0.4 E:\Palancia\TLS\9_Normalized_PointClouds\UAV_Clip_Z5_filtered_Normalized.las E:\Palancia\TLS\11_Perimeter\UAV_Clip_Z5_filtered_Normalized_perimeter.las  0 0 9999999 9999999","Tue Feb 12 09:58:31 2019","Tue Feb 12 09:58:31 2019",0,Success
"ClipData",2.66,"Aug  6 2018 10:55:49"," /zmin:0.4 E:\Palancia\TLS\9_Normalized_PointClouds\Z5_filtered_Normalized.las E:\Palancia\TLS\11_Perimeter\Z5_filtered_Normalized_perimeter.las  0 0 9999999 9999999","Tue Feb 12 09:58:31 2019","Tue Feb 12 09:58:31 2019",0,Success
"CanopyModel",1.97,"Aug  6 2018 10:55:44"," /ground:E:\Palancia\TLS\7_MDT\Z2_filtered_ground.mdt E:\Palancia\TLS\8_Canopy_Model\Z2_filtered_CanopyModel.mdt 0.05 m m 1 30 2 3 E:\Palancia\TLS\3_TLS_Noise\Z2_filtered_cleaned.las","Tue Feb 12 09:58:51 2019","Tue Feb 12 09:58:51 2019",0,Errors
"CanopyModel",1.97,"Aug  6 2018 10:55:44"," /ground:E:\Palancia\TLS\7_MDT\UAV_Clip_Z2_filtered_ground.mdt E:\Palancia\TLS\8_Canopy_Model\UAV_Clip_Z2_filtered_CanopyModel.mdt 0.05 m m 1 30 2 3 E:\Palancia\TLS\5_Photogrammetry_Clip\UAV_Clip_Z2_filtered.las","Tue Feb 12 09:58:51 2019","Tue Feb 12 09:58:51 2019",0,Errors
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," /outlier:-0.30,2.5 /minht:0.25 E:\Palancia\TLS\9_Normalized_PointClouds\*Z2_filtered_Normalized.las E:\Palancia\TLS\10_CloudMetrics\Z2_filtered.csv ","Tue Feb 12 09:58:51 2019","Tue Feb 12 09:58:51 2019",0,Success
"ClipData",2.66,"Aug  6 2018 10:55:49"," /zmin:0.4 E:\Palancia\TLS\9_Normalized_PointClouds\UAV_Clip_Z2_filtered_Normalized.las E:\Palancia\TLS\11_Perimeter\UAV_Clip_Z2_filtered_Normalized_perimeter.las  0 0 9999999 9999999","Tue Feb 12 09:58:51 2019","Tue Feb 12 09:58:51 2019",0,Success
"ClipData",2.66,"Aug  6 2018 10:55:49"," /zmin:0.4 E:\Palancia\TLS\9_Normalized_PointClouds\Z2_filtered_Normalized.las E:\Palancia\TLS\11_Perimeter\Z2_filtered_Normalized_perimeter.las  0 0 9999999 9999999","Tue Feb 12 09:58:51 2019","Tue Feb 12 09:58:51 2019",0,Success
"CanopyModel",1.97,"Aug  6 2018 10:55:44"," /ground:E:\Palancia\TLS\7_MDT\Z15_filtered_ground.mdt E:\Palancia\TLS\8_Canopy_Model\Z15_filtered_CanopyModel.mdt 0.05 m m 1 30 2 3 E:\Palancia\TLS\3_TLS_Noise\Z15_filtered_cleaned.las","Tue Feb 12 09:59:46 2019","Tue Feb 12 09:59:46 2019",0,Errors
"CanopyModel",1.97,"Aug  6 2018 10:55:44"," /ground:E:\Palancia\TLS\7_MDT\UAV_Clip_Z15_filtered_ground.mdt E:\Palancia\TLS\8_Canopy_Model\UAV_Clip_Z15_filtered_CanopyModel.mdt 0.05 m m 1 30 2 3 E:\Palancia\TLS\5_Photogrammetry_Clip\UAV_Clip_Z15_filtered.las","Tue Feb 12 09:59:46 2019","Tue Feb 12 09:59:46 2019",0,Errors
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," /outlier:-0.30,2.5 /minht:0.25 E:\Palancia\TLS\9_Normalized_PointClouds\*Z15_filtered_Normalized.las E:\Palancia\TLS\10_CloudMetrics\Z15_filtered.csv ","Tue Feb 12 09:59:46 2019","Tue Feb 12 09:59:46 2019",0,Success
"ClipData",2.66,"Aug  6 2018 10:55:49"," /zmin:0.4 E:\Palancia\TLS\9_Normalized_PointClouds\UAV_Clip_Z15_filtered_Normalized.las E:\Palancia\TLS\11_Perimeter\UAV_Clip_Z15_filtered_Normalized_perimeter.las  0 0 9999999 9999999","Tue Feb 12 09:59:47 2019","Tue Feb 12 09:59:47 2019",0,Success
"ClipData",2.66,"Aug  6 2018 10:55:49"," /zmin:0.4 E:\Palancia\TLS\9_Normalized_PointClouds\Z15_filtered_Normalized.las E:\Palancia\TLS\11_Perimeter\Z15_filtered_Normalized_perimeter.las  0 0 9999999 9999999","Tue Feb 12 09:59:47 2019","Tue Feb 12 09:59:47 2019",0,Success
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," /outlier:-0.30,2.5 /minht:0.25 E:\Palancia\TLS\9_Normalized_PointClouds\*Z17_filtered_Normalized.las E:\Palancia\TLS\10_CloudMetrics\Z17_filtered.csv ","Tue Feb 12 10:01:21 2019","Tue Feb 12 10:01:30 2019",9,Success
"ClipData",2.66,"Aug  6 2018 10:55:49"," /zmin:0.4 E:\Palancia\TLS\9_Normalized_PointClouds\UAV_Clip_Z17_filtered_Normalized.las E:\Palancia\TLS\11_Perimeter\UAV_Clip_Z17_filtered_Normalized_perimeter.las  0 0 9999999 9999999","Tue Feb 12 10:01:30 2019","Tue Feb 12 10:01:30 2019",0,Success
"ClipData",2.66,"Aug  6 2018 10:55:49"," /zmin:0.4 E:\Palancia\TLS\9_Normalized_PointClouds\Z17_filtered_Normalized.las E:\Palancia\TLS\11_Perimeter\Z17_filtered_Normalized_perimeter.las  0 0 9999999 9999999","Tue Feb 12 10:01:30 2019","Tue Feb 12 10:01:34 2019",4,Success
